Title: The flare catalog and the flare activity in the Kepler mission 
Authors: Yang H., Liu J. 
Table: Parameters of flaring stars
================================================================================
Byte-by-byte Description of file: apjsab0d28t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label   Explanations
--------------------------------------------------------------------------------
   1-  9 I9     ---       KIC     Kepler Input Catalog identifier
  11- 13 I3     ---       Num     Number of flares
  15- 19 I5     K         Teff    Effective temperature
  21- 24 F4.2   [cm/s2]   log(g)  log surface gravity
  26- 33 E8.2   ---       Lum     Flare to bolometric luminosity ratio
  35- 39 F5.2   d         Prot    Rotational period
  41- 49 A9     ---     r_Prot    Reference code for Prot (1)
  51- 52 A2     ---       NS      Neighboring star code (2)
--------------------------------------------------------------------------------
Note (1):
       MC2014 = McQuillan et al. (2014) [2014ApJS..211...24M];
    This_Work = This work;
     Rein2013 = Reinhold et al. (2013) [2013A&A...560A...4R].
Note (2):
    np = no neighboring star;
     p = neighboring star.
--------------------------------------------------------------------------------
009653110 175  5396 4.53 1.36e-07  3.13 MC2014    np 
006763067 174  3692 4.82 2.22e-07  2.98 MC2014    np 
008423343 174  4555 4.57 7.77e-07  1.72 MC2014    np 
011876227 174  3218 5.12 8.07e-07  1.46 MC2014    np 
005785906 173  5004 3.53 1.84e-07  7.74 Rein2013  np 
009631366 173  3720 4.76 8.63e-08  7.05 MC2014    np 
004142137 173  5645 4.43 1.76e-07  1.93 MC2014    np 
005772452 172  4999 3.45 2.74e-07  1.42 This_Work np 
009754973 172  5858 4.06 8.55e-08  1.17 MC2014    np 
004650327 170  4986 4.66 4.87e-07  7.66 MC2014    np 
010548508 170  3328 4.99 1.58e-07  9.26 MC2014    np 
004742436 170  5914 4.11 3.73e-08  2.34 MC2014    np 
009401856 170  5780 4.42 1.40e-07  3.03 MC2014    np 
008196449 169  3864 4.65 1.90e-07  4.63 MC2014    np 
009395205 168  3827 4.73 2.40e-07  4.99 MC2014    np 
005460828 167  4321 4.76 3.92e-07  1.91 MC2014    np 
006186082 167  3620 4.82 5.90e-07  5.12 MC2014    np 
011033205 167  4233 4.61 2.52e-07  2.12 MC2014    np 
011764567 167  5422 4.50 1.27e-07 20.15 MC2014    np 
007459173 167  5605 3.99 2.11e-07  6.82 MC2014    np 
005894155 166  4440 4.75 2.62e-07  3.62 MC2014    np 
007886049 166  4551 4.78 3.28e-07  1.50 MC2014    np 
004919243 165  5008 3.63 2.48e-07 24.52 This_Work np 
008678457 165  5518 3.75 2.39e-07 11.49 MC2014    np 
002834637 164  3236 5.09 2.11e-07 23.23 MC2014    np 
004067894 163  3360 4.96 5.70e-07  5.07 MC2014    np 
006697041 163  5372 4.61 2.03e-07 15.39 MC2014    np 
009541573 163  3705 4.68 2.54e-07  2.84 MC2014    np 
010920281 163  3704 4.80 9.83e-08  2.42 MC2014    np 
009179906 161  3368 4.95 1.37e-07  8.92 MC2014    np 
012207432 161  3680 4.78 1.64e-07  1.70 MC2014    np 
003441906 160  5242 4.56 1.54e-07  1.85 MC2014    np 
010537061 160  5262 3.84 4.04e-07  1.28 MC2014    np 
005181824 160  5011 3.32 2.30e-07  6.85 This_Work np 
003109825 159  3992 4.65 4.90e-08 13.32 MC2014    np 
011958955 159  4981 4.55 7.33e-08  8.13 MC2014    np 
008429170 159  5951 4.39 6.38e-08  2.42 This_Work np 
004921143 158  3291 5.02 4.78e-08 20.28 MC2014    np 
006691930 158  5524 4.48 3.97e-07 13.24 MC2014    np 
011037498 158  3982 4.67 1.02e-07 10.53 MC2014    np 
006116129 157  4008 4.66 7.99e-08  2.35 MC2014    np 
009487994 157  6147 3.67 5.92e-08  3.06 MC2014    np 
008737443 156  3435 5.04 8.80e-08  3.72 MC2014    np 
011550428 155  3407 4.92 2.77e-07  4.66 This_Work np 
008074287 154  5720 4.43 9.45e-08  2.85 MC2014    np 
008494510 154  3598 4.88 2.15e-07  2.11 MC2014    np 
007958049 153  5802 4.38 1.90e-07  2.99 MC2014    np 
009048976 153  4266 4.66 6.30e-08 11.00 MC2014    np 
006934317 153  5606 3.82 5.62e-08  2.54 MC2014    np 
003539331 152  4338 4.62 3.24e-07  1.54 MC2014    np 
005437459 152  3892 4.73 1.28e-07 13.19 MC2014    np 
009267997 151  6616 3.97 1.25e-07  1.83 This_Work p  
010120296 151  5716 4.36 4.39e-07  3.84 This_Work np 
012690208 151  5596 4.34 3.88e-07  2.20 This_Work np 
011081377 151  4056 4.65 4.00e-08  9.81 MC2014    np 
006037009 150  3274 5.04 2.11e-07 25.97 MC2014    np 
007174505 150  5411 4.48 1.49e-07  3.83 MC2014    np 
004554781 149  4254 4.61 1.44e-07  8.89 This_Work p  
004681067 149  4407 4.67 4.65e-07  5.13 MC2014    np 
005966921 149  3983 4.65 7.06e-07  5.16 MC2014    np 
006370174 149  3396 4.93 2.75e-07 14.99 MC2014    np 
008210323 149  3652 4.84 8.52e-08 12.92 MC2014    np 
008680857 149  4391 4.57 2.79e-07  3.28 This_Work np 
008959087 149  5451 4.48 1.20e-07  2.45 MC2014    np 
009220002 149  5364 4.53 3.37e-07  7.97 MC2014    np 
004569930 149  6008 3.85 1.05e-07  2.63 MC2014    np 
002285548 148  4813 3.80 9.99e-08  2.06 Rein2013  np 
008525805 148  6846 4.20 3.16e-07  0.77 Rein2013  p  
009413885 148  5112 3.51 2.71e-07  3.30 Rein2013  np 
012835232 147  3744 4.76 1.68e-07  1.89 This_Work np 
008749284 147  4632 3.14 2.62e-07  3.21 This_Work np 
001872885 146  3847 4.65 4.05e-07  1.87 MC2014    np 
005268904 145  3407 4.92 1.15e-07  4.35 MC2014    np 
005531281 145  5052 4.52 3.95e-07  9.86 MC2014    np 
009712736 145  5651 4.56 2.03e-07  2.00 MC2014    np 
009419002 145  5438 3.42 1.07e-07 26.12 This_Work np 
005083330 144  3785 4.72 2.30e-07  1.96 MC2014    np 
011244980 144  5904 4.39 1.08e-07  1.32 MC2014    np 
001873543 143  3850 4.66 7.15e-08 11.55 MC2014    np 
005428626 143  4914 3.11 6.03e-07  2.61 This_Work np 
007350496 143  5668 3.77 1.01e-07  9.72 MC2014    np 
009269688 143  4547 4.56 1.38e-07  3.21 MC2014    np 
004644174 142  4135 4.62 1.95e-07 11.86 MC2014    np 
005779615 142  3844 4.72 1.28e-07  3.35 MC2014    np 
007973706 142  4410 4.64 1.28e-07 10.73 MC2014    np 
012004872 142  3514 4.89 7.56e-08  6.39 This_Work np 
006290974 142  4681 4.70 1.26e-07  1.88 MC2014    np 
006871896 141  4051 4.64 8.45e-08 14.24 MC2014    np 
007509281 141  3514 4.91 2.03e-07  5.40 MC2014    np 
008935140 141  4532 4.57 2.39e-07  2.38 MC2014    np 
009203794 141  3261 5.07 3.49e-08 52.27 MC2014    np 
010330818 141  4441 4.71 1.04e-07  8.54 MC2014    np 
006425928 140  3862 4.70 2.13e-07  2.99 Rein2013  np 
009237305 140  5210 3.23 6.08e-08 26.40 This_Work np 
009405969 140  5138 3.60 3.51e-07  3.98 Rein2013  np 
008142547 139  4996 4.59 2.38e-07 12.94 MC2014    np 
009011963 139  4457 4.57 1.60e-07  2.09 MC2014    np 
009581885 139  3587 4.84 2.32e-07 10.59 MC2014    np 
012599998 139  4453 4.58 3.79e-07  2.48 MC2014    np 
007107430 139  4110 4.67 4.54e-08  9.87 MC2014    np 
005475645 138  5513 4.63 1.25e-07  7.42 Rein2013  np 
006794650 138  5370 4.57 2.83e-07  1.81 MC2014    np 
007877209 138  3520 4.91 1.11e-07 11.52 MC2014    np 
004851304 137  5604 4.45 1.31e-07  1.87 Rein2013  np 
005771149 137  4679 4.60 8.39e-07 13.07 MC2014    np 
008044516 137  4755 4.60 1.39e-07  2.70 This_Work np 
010812541 137  4137 4.62 2.01e-07  3.95 MC2014    np 
005608037 137  5633 3.78 7.75e-08 26.84 MC2014    np 
006223256 136  5951 4.30 9.22e-08  2.10 MC2014    np 
008572066 136  3929 4.70 1.77e-07  9.34 MC2014    np 
008867609 136  3989 4.71 1.32e-07  7.01 MC2014    np 
009426508 136  3306 5.01 1.16e-07 40.51 MC2014    np 
010056727 136  5232 4.52 1.26e-07  3.33 MC2014    np 
010736489 136  5227 4.53 1.82e-07  2.60 This_Work np 
010799767 136  5591 4.62 8.26e-08  1.80 MC2014    np 
011968008 136  5324 3.86 7.76e-08 20.11 MC2014    np 
011551430 136  5648 4.02 5.72e-07  4.12 MC2014    np 
003452996 135  5031 3.90 1.26e-07  1.79 MC2014    np 
004814290 135  4970 4.54 2.19e-07  3.41 Rein2013  np 
004819423 135  4562 4.55 1.85e-07  1.76 MC2014    np 
005729898 135  4319 4.60 2.87e-07  2.94 MC2014    np 
009114508 135  4070 4.63 4.58e-07  1.70 MC2014    np 
010317398 135  4465 4.78 2.84e-07  1.74 MC2014    np 
011807397 135  5895 4.45 6.94e-08 11.74 MC2014    np 
007838958 135  5385 3.31 5.38e-08 27.12 This_Work np 
005641933 135  5494 3.68 1.17e-07  3.74 Rein2013  np 
006497820 133  5009 4.55 7.97e-08  6.65 MC2014    np 
009933464 133  3311 5.09 1.50e-07  1.23 MC2014    np 
011610797 133  5868 4.03 6.38e-08  1.60 MC2014    np 
002692708 132  3694 4.69 6.74e-08 29.88 MC2014    np 
011186775 132  6190 4.34 6.48e-08  1.78 MC2014    np 
003112828 131  4492 4.59 1.47e-07  9.95 MC2014    np 
009588880 131  3900 4.73 1.51e-07  3.46 MC2014    np 
010658494 131  4229 4.69 1.64e-07 11.37 MC2014    np 
008257779 130  4789 4.74 1.95e-07  1.45 MC2014    np 
008803643 130  4735 4.63 1.14e-07  1.94 MC2014    np 
010731839 130  3256 5.07 1.40e-08 46.12 MC2014    np 
006549597 129  5242 4.56 9.81e-08  3.09 MC2014    np 
009269082 129  5094 4.64 3.70e-07 12.25 MC2014    np 
010745663 129  6014 4.49 1.44e-07  3.19 Rein2013  np 
006668646 128  3591 4.86 1.84e-07  6.16 Rein2013  np 
007218950 128  5277 4.61 1.30e-07  1.95 MC2014    np 
007347292 128  4733 4.68 2.81e-07  1.35 MC2014    np 
